GEO_ID,NAME,S2401_C01_001E,S2401_C01_001M,S2401_C01_002E,S2401_C01_002M,PERC_Management,S2401_C01_018E,S2401_C01_018M,PERC_Service,S2401_C01_026E,S2401_C01_026M,PERC_Sales,S2401_C01_029E,S2401_C01_029M,PERC_Natural,S2401_C01_033E,S2401_C01_033M,PERC_Production
id,Geographic Area Name,Estimate!!Total!!16 years and over,Margin of Error!!Total MOE!!16 years and over,"Estimate!!Total!!16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Total MOE!!16 years and over!!Management, business, science, and arts occupations","PERC_Management, business, science, and arts occupations",Estimate!!Total!!16 years and over!!Service occupations,Margin of Error!!Total MOE!!16 years and over!!Service occupations,PERC_Service occupations,Estimate!!Total!!16 years and over!!Sales and office occupations,Margin of Error!!Total MOE!!16 years and over!!Sales and office occupations,PERC_Sales,"Estimate!!Total!!16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total MOE!!16 years and over!!Natural resources, construction, and maintenance occupations",PERC_Natural,"Estimate!!Total!!16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Total MOE!!16 years and over!!Production, transportation, and material moving occupations",PERC_Production
1400000US36005009300,"Census Tract 93, Bronx County, New York",1991,352,466,201,23.4053,776,223,38.9754,264,129,13.2597,239,150,12.004,246,132,12.3556
1400000US36005009600,"Census Tract 96, Bronx County, New York",907,139,263,76,28.9967,259,84,28.5557,243,83,26.7916,22,26,2.4256,120,64,13.2304
1400000US36005009800,"Census Tract 98, Bronx County, New York",2356,362,696,200,29.5416,593,191,25.1698,581,185,24.6604,176,113,7.4703,310,155,13.1579
1400000US36005011000,"Census Tract 110, Bronx County, New York",0,12,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0
1400000US36005011502,"Census Tract 115.02, Bronx County, New York",1477,241,184,84,12.4577,595,153,40.2844,362,164,24.5091,106,82,7.1767,230,88,15.5721
1400000US36005011700,"Census Tract 117, Bronx County, New York",595,128,107,59,17.9832,248,92,41.6807,144,66,24.2017,7,14,1.1765,89,72,14.958
1400000US36005011800,"Census Tract 118, Bronx County, New York",2206,216,866,159,39.2566,302,110,13.6899,608,156,27.5612,207,87,9.3835,223,121,10.1088
1400000US36005011900,"Census Tract 119, Bronx County, New York",1955,303,203,96,10.3836,961,235,49.156,342,116,17.4936,100,61,5.1151,349,135,17.8517
1400000US36005012101,"Census Tract 121.01, Bronx County, New York",1255,182,279,87,22.2311,381,98,30.3586,394,89,31.3944,69,43,5.498,132,49,10.5179
1400000US36005012102,"Census Tract 121.02, Bronx County, New York",488,102,101,51,20.6967,201,80,41.1885,89,60,18.2377,17,26,3.4836,80,49,16.3934
1400000US36005012300,"Census Tract 123, Bronx County, New York",1719,335,592,167,34.4386,527,154,30.6574,261,102,15.1832,154,69,8.9587,185,102,10.7621
1400000US36005012500,"Census Tract 125, Bronx County, New York",1662,237,540,183,32.491,533,171,32.0698,248,96,14.9218,91,68,5.4753,250,106,15.0421
1400000US36005012701,"Census Tract 127.01, Bronx County, New York",717,202,94,57,13.1102,240,78,33.4728,219,143,30.5439,50,52,6.9735,114,63,15.8996
1400000US36005012901,"Census Tract 129.01, Bronx County, New York",1300,213,303,120,23.3077,534,162,41.0769,306,131,23.5385,72,56,5.5385,85,78,6.5385
1400000US36005013000,"Census Tract 130, Bronx County, New York",843,141,262,71,31.0795,142,57,16.8446,259,89,30.7236,67,35,7.9478,113,55,13.4045
1400000US36005013100,"Census Tract 131, Bronx County, New York",1911,258,480,138,25.1177,661,162,34.5892,452,129,23.6525,56,49,2.9304,262,112,13.7101
1400000US36005013200,"Census Tract 132, Bronx County, New York",3807,489,1697,305,44.5758,808,298,21.2241,693,228,18.2033,356,197,9.3512,253,145,6.6457
1400000US36005013300,"Census Tract 133, Bronx County, New York",2216,586,326,162,14.7112,892,268,40.2527,559,285,25.2256,185,146,8.3484,254,156,11.4621
1400000US36005013500,"Census Tract 135, Bronx County, New York",1290,228,284,125,22.0155,569,138,44.1085,223,103,17.2868,48,44,3.7209,166,114,12.8682
1400000US36005013800,"Census Tract 138, Bronx County, New York",1233,183,377,109,30.5758,156,89,12.6521,340,92,27.575,231,93,18.7348,129,89,10.4623
1400000US36005014100,"Census Tract 141, Bronx County, New York",2418,253,361,113,14.9297,1061,181,43.8792,445,142,18.4036,125,79,5.1696,426,136,17.6179
1400000US36005014300,"Census Tract 143, Bronx County, New York",514,127,111,41,21.5953,285,108,55.4475,42,41,8.1712,31,35,6.0311,45,33,8.7549
1400000US36005014400,"Census Tract 144, Bronx County, New York",1876,408,468,155,24.9467,635,196,33.8486,439,186,23.4009,78,75,4.1578,256,153,13.6461
1400000US36005014500,"Census Tract 145, Bronx County, New York",2417,419,234,129,9.6814,1177,326,48.6967,463,215,19.156,146,128,6.0405,397,194,16.4253
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",1678,444,398,190,23.7187,842,397,50.1788,240,145,14.3027,61,67,3.6353,137,106,8.1645
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",1826,402,215,110,11.7744,1026,279,56.1884,375,136,20.5367,100,77,5.4765,110,69,6.0241
1400000US36005014900,"Census Tract 149, Bronx County, New York",1787,275,337,115,18.8584,711,235,39.7874,323,116,18.075,103,62,5.7639,313,105,17.5154
1400000US36005015100,"Census Tract 151, Bronx County, New York",2159,371,437,141,20.2409,902,235,41.7786,441,152,20.4261,82,59,3.7981,297,125,13.7564
1400000US36005015200,"Census Tract 152, Bronx County, New York",1170,155,429,96,36.6667,315,102,26.9231,243,82,20.7692,81,42,6.9231,102,55,8.7179
1400000US36005015300,"Census Tract 153, Bronx County, New York",1753,289,458,163,26.1266,533,148,30.405,367,135,20.9355,128,102,7.3018,267,125,15.231
1400000US36005015500,"Census Tract 155, Bronx County, New York",1072,214,114,73,10.6343,524,129,48.8806,220,75,20.5224,62,48,5.7836,152,145,14.1791
1400000US36005015700,"Census Tract 157, Bronx County, New York",1979,375,349,152,17.6352,666,210,33.6534,479,170,24.2041,278,253,14.0475,207,113,10.4598
1400000US36005015800,"Census Tract 158, Bronx County, New York",463,132,142,57,30.6695,96,80,20.7343,127,47,27.4298,26,23,5.6156,72,46,15.5508
1400000US36005015900,"Census Tract 159, Bronx County, New York",575,144,156,69,27.1304,152,55,26.4348,103,52,17.913,86,71,14.9565,78,42,13.5652
1400000US36005016000,"Census Tract 160, Bronx County, New York",1913,224,604,157,31.5734,387,158,20.23,633,176,33.0894,102,77,5.3319,187,86,9.7752
1400000US36005016100,"Census Tract 161, Bronx County, New York",1748,307,219,117,12.5286,828,209,47.3684,298,126,17.0481,98,70,5.6064,305,155,17.4485
1400000US36005016200,"Census Tract 162, Bronx County, New York",875,163,275,86,31.4286,227,99,25.9429,255,83,29.1429,48,37,5.4857,70,36,8
1400000US36005016300,"Census Tract 163, Bronx County, New York",0,12,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0
1400000US36005016400,"Census Tract 164, Bronx County, New York",450,91,142,42,31.5556,92,42,20.4444,113,50,25.1111,31,30,6.8889,72,28,16
1400000US36005016500,"Census Tract 165, Bronx County, New York",361,74,82,33,22.7147,139,55,38.5042,67,35,18.5596,0,12,0,73,41,20.2216
1400000US36005016600,"Census Tract 166, Bronx County, New York",1110,186,341,86,30.7207,335,101,30.1802,210,78,18.9189,106,53,9.5495,118,65,10.6306
1400000US36005016700,"Census Tract 167, Bronx County, New York",1157,169,167,66,14.4339,556,165,48.0553,212,83,18.3232,30,28,2.5929,192,79,16.5946
1400000US36005016900,"Census Tract 169, Bronx County, New York",536,124,51,35,9.5149,207,59,38.6194,144,58,26.8657,7,13,1.306,127,81,23.694
1400000US36005017100,"Census Tract 171, Bronx County, New York",0,12,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0
1400000US36005017300,"Census Tract 173, Bronx County, New York",2136,410,249,130,11.6573,1012,203,47.3783,456,205,21.3483,14,24,0.6554,405,194,18.9607
1400000US36005017500,"Census Tract 175, Bronx County, New York",2628,393,535,180,20.3577,1387,375,52.7778,269,126,10.2359,96,79,3.653,341,191,12.9756
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",2072,355,510,164,24.6139,768,266,37.0656,307,128,14.8166,41,62,1.9788,446,193,21.5251
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",2249,347,521,160,23.1659,880,238,39.1285,375,144,16.6741,125,77,5.558,348,132,15.4735
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",2063,302,421,143,20.4072,881,222,42.7048,288,111,13.9603,118,91,5.7198,355,121,17.2079
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",1518,217,315,136,20.751,647,183,42.6219,144,92,9.4862,131,82,8.6298,281,129,18.5112
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",1284,265,149,83,11.6044,523,172,40.7321,260,106,20.2492,71,55,5.5296,281,136,21.8847
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",2102,291,362,109,17.2217,806,142,38.3444,461,158,21.9315,123,87,5.8516,350,116,16.6508
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",1817,229,568,140,31.2603,580,143,31.9207,373,130,20.5283,77,68,4.2378,219,124,12.0528
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",1728,265,282,121,16.3194,745,185,43.1134,460,147,26.6204,72,66,4.1667,169,95,9.7801
1400000US36005018400,"Census Tract 184, Bronx County, New York",1934,251,604,156,31.2306,417,140,21.5615,502,135,25.9566,207,129,10.7032,204,101,10.5481
1400000US36005018500,"Census Tract 185, Bronx County, New York",3323,473,486,212,14.6253,1425,317,42.8829,668,205,20.1023,263,177,7.9145,481,227,14.4749
1400000US36005018900,"Census Tract 189, Bronx County, New York",3403,487,850,256,24.978,1172,272,34.4402,735,257,21.5986,135,113,3.9671,511,222,15.0162
1400000US36005019300,"Census Tract 193, Bronx County, New York",1853,399,389,141,20.993,569,210,30.707,432,212,23.3135,46,44,2.4825,417,208,22.504
1400000US36005019400,"Census Tract 194, Bronx County, New York",920,150,300,81,32.6087,263,98,28.587,219,86,23.8043,81,52,8.8043,57,69,6.1957
1400000US36005019500,"Census Tract 195, Bronx County, New York",3032,404,419,183,13.8193,1362,283,44.9208,639,214,21.0752,210,110,6.9261,402,196,13.2586
1400000US36005019700,"Census Tract 197, Bronx County, New York",3081,453,323,127,10.4836,1271,287,41.2528,687,193,22.298,310,179,10.0617,490,250,15.9039
1400000US36005019900,"Census Tract 199, Bronx County, New York",3923,672,912,259,23.2475,1277,353,32.5516,1026,352,26.1535,110,81,2.804,598,213,15.2434
1400000US36005020000,"Census Tract 200, Bronx County, New York",1871,202,323,94,17.2635,633,179,33.8322,483,109,25.8151,160,86,8.5516,272,114,14.5377
1400000US36005020100,"Census Tract 201, Bronx County, New York",1600,218,280,126,17.5,639,148,39.9375,385,125,24.0625,81,58,5.0625,215,91,13.4375
1400000US36005020200,"Census Tract 202, Bronx County, New York",1016,148,266,85,26.1811,374,106,36.811,201,57,19.7835,85,44,8.3661,90,45,8.8583
1400000US36005020400,"Census Tract 204, Bronx County, New York",1530,242,308,106,20.1307,418,161,27.3203,441,139,28.8235,150,97,9.8039,213,117,13.9216
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",2616,384,555,164,21.2156,896,279,34.2508,758,222,28.9755,223,135,8.5245,184,121,7.0336
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",783,118,172,61,21.9668,223,76,28.4802,217,96,27.7139,35,40,4.47,136,61,17.3691
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",951,232,295,116,31.02,216,126,22.7129,204,89,21.4511,155,135,16.2986,81,50,8.5174
1400000US36005020900,"Census Tract 209, Bronx County, New York",1964,310,352,128,17.9226,876,238,44.6029,318,123,16.1914,108,92,5.499,310,154,15.7841
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",4737,528,1371,311,28.9424,1159,389,24.467,1474,396,31.1167,296,156,6.2487,437,268,9.2252
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",4003,370,1488,344,37.1721,1240,303,30.9768,771,240,19.2606,62,80,1.5488,442,195,11.0417
1400000US36005021100,"Census Tract 211, Bronx County, New York",2054,261,215,80,10.4674,729,171,35.4917,548,151,26.6796,117,62,5.6962,445,162,21.665
1400000US36005021200,"Census Tract 212, Bronx County, New York",2444,344,906,224,37.0704,560,247,22.9133,476,161,19.4763,153,95,6.2602,349,171,14.2799
1400000US36005021301,"Census Tract 213.01, Bronx County, New York",564,124,115,56,20.3901,278,106,49.2908,122,58,21.6312,23,24,4.078,26,31,4.6099
1400000US36005021302,"Census Tract 213.02, Bronx County, New York",2182,384,140,101,6.4161,1023,339,46.8836,497,193,22.7773,124,113,5.6829,398,197,18.2401
1400000US36005021501,"Census Tract 215.01, Bronx County, New York",1708,253,290,138,16.9789,604,154,35.363,408,134,23.8876,113,81,6.6159,293,96,17.1546
1400000US36005021502,"Census Tract 215.02, Bronx County, New York",2290,274,264,113,11.5284,866,215,37.8166,486,132,21.2227,138,83,6.0262,536,192,23.4061
1400000US36005021601,"Census Tract 216.01, Bronx County, New York",1710,244,183,99,10.7018,733,219,42.8655,273,123,15.9649,189,103,11.0526,332,137,19.4152
1400000US36005021602,"Census Tract 216.02, Bronx County, New York",2949,376,942,230,31.943,899,257,30.4849,717,234,24.3133,95,74,3.2214,296,96,10.0373
1400000US36005021700,"Census Tract 217, Bronx County, New York",2084,270,258,105,12.38,802,169,38.4837,462,158,22.1689,146,82,7.0058,416,133,19.9616
1400000US36005021800,"Census Tract 218, Bronx County, New York",3214,487,537,209,16.7082,1383,373,43.0305,620,203,19.2906,252,134,7.8407,422,224,13.1301
1400000US36005021900,"Census Tract 219, Bronx County, New York",493,107,19,21,3.854,262,84,53.144,80,47,16.2272,44,38,8.9249,88,54,17.8499
1400000US36005022000,"Census Tract 220, Bronx County, New York",842,172,173,65,20.5463,274,117,32.5416,133,59,15.7957,77,68,9.1449,185,79,21.9715
1400000US36005022101,"Census Tract 221.01, Bronx County, New York",1390,248,250,85,17.9856,619,214,44.5324,245,96,17.6259,99,79,7.1223,177,98,12.7338
1400000US36005022102,"Census Tract 221.02, Bronx County, New York",1937,313,280,147,14.4553,807,212,41.6624,266,132,13.7326,321,175,16.572,263,113,13.5777
1400000US36005022200,"Census Tract 222, Bronx County, New York",1632,286,470,149,28.799,538,199,32.9657,263,106,16.1152,180,102,11.0294,181,88,11.0907
1400000US36005022300,"Census Tract 223, Bronx County, New York",2164,319,447,139,20.6562,1008,231,46.5804,289,148,13.3549,190,101,8.78,230,102,10.6285
1400000US36005022401,"Census Tract 224.01, Bronx County, New York",1240,186,340,110,27.4194,282,128,22.7419,449,124,36.2097,67,50,5.4032,102,66,8.2258
1400000US36005022403,"Census Tract 224.03, Bronx County, New York",1466,200,437,128,29.809,353,155,24.0791,454,133,30.9686,18,17,1.2278,204,119,13.9154
1400000US36005022404,"Census Tract 224.04, Bronx County, New York",2340,263,902,207,38.547,616,136,26.3248,455,126,19.4444,159,85,6.7949,208,90,8.8889
1400000US36005022500,"Census Tract 225, Bronx County, New York",3337,462,464,180,13.9047,1525,302,45.6997,608,220,18.22,197,167,5.9035,543,210,16.2721
