GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,S0101_C02_001E,S0101_C02_001M,S0101_C03_001E,S0101_C03_001M,S0101_C04_001E,S0101_C04_001M
id,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total MOE!!Total population,Estimate!!Percent!!Total population,Margin of Error!!Percent MOE!!Total population,Estimate!!Male!!Total population,Margin of Error!!Male MOE!!Total population,Estimate!!Percent Male!!Total population,Margin of Error!!Percent Male MOE!!Total population
1400000US36005002500,"Census Tract 25, Bronx County, New York",5887,553,(X),(X),2958,444,(X),(X)
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",2868,301,(X),(X),1259,204,(X),(X)
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",4702,491,(X),(X),2288,351,(X),(X)
1400000US36005002800,"Census Tract 28, Bronx County, New York",5269,578,(X),(X),2222,354,(X),(X)
1400000US36005003100,"Census Tract 31, Bronx County, New York",1703,242,(X),(X),863,166,(X),(X)
1400000US36005003300,"Census Tract 33, Bronx County, New York",3534,356,(X),(X),1518,280,(X),(X)
1400000US36005003500,"Census Tract 35, Bronx County, New York",3900,363,(X),(X),1727,226,(X),(X)
1400000US36005003700,"Census Tract 37, Bronx County, New York",269,87,(X),(X),151,70,(X),(X)
1400000US36005003800,"Census Tract 38, Bronx County, New York",1434,201,(X),(X),653,103,(X),(X)
1400000US36005003900,"Census Tract 39, Bronx County, New York",6742,733,(X),(X),3306,570,(X),(X)
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",1485,192,(X),(X),735,117,(X),(X)
1400000US36005004100,"Census Tract 41, Bronx County, New York",5517,618,(X),(X),2864,434,(X),(X)
1400000US36005004200,"Census Tract 42, Bronx County, New York",7207,648,(X),(X),3073,547,(X),(X)
1400000US36005004300,"Census Tract 43, Bronx County, New York",6088,595,(X),(X),3077,411,(X),(X)
1400000US36005004400,"Census Tract 44, Bronx County, New York",4607,395,(X),(X),2023,269,(X),(X)
1400000US36005004600,"Census Tract 46, Bronx County, New York",1817,237,(X),(X),797,159,(X),(X)
1400000US36005004800,"Census Tract 48, Bronx County, New York",4680,415,(X),(X),2364,305,(X),(X)
