GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,S0101_C03_001E,S0101_C03_001M,CALC_MALE,S0101_C04_001M,CALC_50_UP,PERC_50_UP
id,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total MOE!!Total population,Estimate!!Male!!Total population,Margin of Error!!Male MOE!!Total population,Estimate!!Percent Male!!Total population,Margin of Error!!Percent Male MOE!!Total population,Estimate!!Total!!Total population!!AGE!!50 and over,Estimate!!Total!!Total population!!AGE!!50 and over
1400000US36005011700,"Census Tract 117, Bronx County, New York",1586,272,665,159,41.9294,(X),352,22.1942
1400000US36005011800,"Census Tract 118, Bronx County, New York",5400,373,3061,258,56.6852,(X),1795,33.2407
1400000US36005011900,"Census Tract 119, Bronx County, New York",5557,511,2776,343,49.9550,(X),1319,23.7358
1400000US36005012101,"Census Tract 121.01, Bronx County, New York",2906,283,1292,172,44.4597,(X),655,22.5396
1400000US36005012102,"Census Tract 121.02, Bronx County, New York",1509,190,681,130,45.1292,(X),309,20.4771
1400000US36005012300,"Census Tract 123, Bronx County, New York",4095,518,2013,352,49.1575,(X),1210,29.5482
1400000US36005012500,"Census Tract 125, Bronx County, New York",4195,363,1972,233,47.0083,(X),1056,25.1728
1400000US36005012701,"Census Tract 127.01, Bronx County, New York",1832,289,773,167,42.1943,(X),642,35.0437
1400000US36005012901,"Census Tract 129.01, Bronx County, New York",4147,472,1936,313,46.6844,(X),1209,29.1536
1400000US36005013000,"Census Tract 130, Bronx County, New York",1498,165,754,115,50.3338,(X),528,35.2470
1400000US36005013100,"Census Tract 131, Bronx County, New York",5076,522,2439,347,48.0496,(X),1135,22.3601
1400000US36005013200,"Census Tract 132, Bronx County, New York",7191,650,3733,476,51.9121,(X),2855,39.7024
1400000US36005013300,"Census Tract 133, Bronx County, New York",5995,561,2607,512,43.4862,(X),1692,28.2235
1400000US36005013500,"Census Tract 135, Bronx County, New York",3541,457,1573,290,44.4225,(X),1142,32.2508
1400000US36005013800,"Census Tract 138, Bronx County, New York",2597,382,1111,255,42.7801,(X),966,37.1968
1400000US36005014100,"Census Tract 141, Bronx County, New York",5865,525,2564,248,43.7170,(X),1308,22.3018
1400000US36005014300,"Census Tract 143, Bronx County, New York",1399,235,635,161,45.3896,(X),421,30.0929
1400000US36005014400,"Census Tract 144, Bronx County, New York",5513,770,2346,507,42.5540,(X),1687,30.6004
1400000US36005014500,"Census Tract 145, Bronx County, New York",8004,1059,3626,991,45.3023,(X),1820,22.7386
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",7120,642,3169,495,44.5084,(X),1296,18.2022
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",5348,471,2373,347,44.3717,(X),1137,21.2603
1400000US36005014900,"Census Tract 149, Bronx County, New York",4769,455,2292,300,48.0604,(X),1339,28.0772
1400000US36005015100,"Census Tract 151, Bronx County, New York",5029,488,2423,364,48.1806,(X),1428,28.3953
1400000US36005015200,"Census Tract 152, Bronx County, New York",2586,236,1311,148,50.6961,(X),861,33.2947
1400000US36005015300,"Census Tract 153, Bronx County, New York",4885,460,2354,290,48.1883,(X),1292,26.4483
1400000US36005015500,"Census Tract 155, Bronx County, New York",2884,313,1111,209,38.5229,(X),862,29.8890
1400000US36005015700,"Census Tract 157, Bronx County, New York",4427,459,2066,359,46.6682,(X),1278,28.8683
1400000US36005015800,"Census Tract 158, Bronx County, New York",1082,216,521,120,48.1516,(X),447,41.3124
1400000US36005015900,"Census Tract 159, Bronx County, New York",1971,259,916,225,46.4739,(X),589,29.8833
1400000US36005016000,"Census Tract 160, Bronx County, New York",3870,347,1766,205,45.6331,(X),1636,42.2739
1400000US36005016100,"Census Tract 161, Bronx County, New York",4361,379,1801,242,41.2979,(X),1259,28.8695
1400000US36005016200,"Census Tract 162, Bronx County, New York",1966,263,979,153,49.7965,(X),840,42.7263
1400000US36005016300,"Census Tract 163, Bronx County, New York",0,12,0,12,0.0000,(X),0,0.0000
1400000US36005016400,"Census Tract 164, Bronx County, New York",993,185,496,98,49.9496,(X),492,49.5468
1400000US36005016500,"Census Tract 165, Bronx County, New York",965,148,452,84,46.8394,(X),127,13.1606
1400000US36005016600,"Census Tract 166, Bronx County, New York",2364,244,1087,145,45.9814,(X),733,31.0068
1400000US36005016700,"Census Tract 167, Bronx County, New York",3625,475,1778,253,49.0483,(X),540,14.8966
1400000US36005016900,"Census Tract 169, Bronx County, New York",1513,249,636,141,42.0357,(X),421,27.8255
1400000US36005017100,"Census Tract 171, Bronx County, New York",0,12,0,12,0.0000,(X),0,0.0000
1400000US36005017300,"Census Tract 173, Bronx County, New York",5689,516,2630,426,46.2296,(X),1839,32.3255
1400000US36005017500,"Census Tract 175, Bronx County, New York",7223,602,3499,512,48.4425,(X),2409,33.3518
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",4812,523,2574,357,53.4913,(X),1277,26.5378
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",5786,675,2772,431,47.9087,(X),1676,28.9665
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",5006,548,2187,401,43.6876,(X),1266,25.2897
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",3701,388,1498,220,40.4755,(X),1030,27.8303
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",3107,386,1240,242,39.9099,(X),709,22.8194
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",5791,481,2959,304,51.0965,(X),1668,28.8033
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",4022,374,1796,256,44.6544,(X),1615,40.1542
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",3814,397,1786,251,46.8275,(X),1093,28.6576
1400000US36005018400,"Census Tract 184, Bronx County, New York",4018,371,1792,196,44.5993,(X),1578,39.2733
1400000US36005018500,"Census Tract 185, Bronx County, New York",8625,838,4407,740,51.0957,(X),2501,28.9971
1400000US36005018900,"Census Tract 189, Bronx County, New York",8259,722,3846,466,46.5674,(X),1676,20.2930
1400000US36005019300,"Census Tract 193, Bronx County, New York",5942,529,2301,389,38.7243,(X),1288,21.6762
1400000US36005019400,"Census Tract 194, Bronx County, New York",2334,228,1181,181,50.5998,(X),659,28.2348
1400000US36005019500,"Census Tract 195, Bronx County, New York",7418,689,3599,533,48.5171,(X),1968,26.5301
1400000US36005019700,"Census Tract 197, Bronx County, New York",7165,733,3360,485,46.8946,(X),1473,20.5583
1400000US36005019900,"Census Tract 199, Bronx County, New York",8462,739,4034,455,47.6719,(X),2218,26.2113
1400000US36005020000,"Census Tract 200, Bronx County, New York",4548,440,2068,221,45.4705,(X),987,21.7018
1400000US36005020100,"Census Tract 201, Bronx County, New York",4254,363,1891,249,44.4523,(X),1200,28.2087
1400000US36005020200,"Census Tract 202, Bronx County, New York",2252,212,1091,137,48.4458,(X),664,29.4849
1400000US36005020400,"Census Tract 204, Bronx County, New York",3091,373,1611,187,52.1191,(X),1027,33.2255
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",7041,523,3355,435,47.6495,(X),2055,29.1862
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",2163,215,840,142,38.8350,(X),702,32.4549
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",2336,465,1110,277,47.5171,(X),710,30.3938
1400000US36005020900,"Census Tract 209, Bronx County, New York",4499,508,2190,356,48.6775,(X),1350,30.0067
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",8825,571,4436,541,50.2663,(X),3096,35.0822
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",7710,604,3455,438,44.8119,(X),2301,29.8444
1400000US36005021100,"Census Tract 211, Bronx County, New York",5138,385,2414,312,46.9833,(X),1182,23.0051
1400000US36005021200,"Census Tract 212, Bronx County, New York",4960,499,2289,299,46.1492,(X),1891,38.1250
1400000US36005021301,"Census Tract 213.01, Bronx County, New York",1361,143,499,124,36.6642,(X),359,26.3777
1400000US36005021302,"Census Tract 213.02, Bronx County, New York",6040,869,2264,405,37.4834,(X),1341,22.2020
1400000US36005021501,"Census Tract 215.01, Bronx County, New York",4716,344,1883,239,39.9279,(X),878,18.6175
1400000US36005021502,"Census Tract 215.02, Bronx County, New York",6349,421,3366,334,53.0162,(X),1622,25.5473
1400000US36005021601,"Census Tract 216.01, Bronx County, New York",4356,396,2192,236,50.3214,(X),1153,26.4692
1400000US36005021602,"Census Tract 216.02, Bronx County, New York",5635,621,2213,341,39.2724,(X),1937,34.3744
1400000US36005021700,"Census Tract 217, Bronx County, New York",5147,535,2446,340,47.5228,(X),1366,26.5397
1400000US36005021800,"Census Tract 218, Bronx County, New York",7017,834,3228,511,46.0026,(X),1910,27.2196
1400000US36005021900,"Census Tract 219, Bronx County, New York",1045,187,557,115,53.3014,(X),261,24.9761
1400000US36005022000,"Census Tract 220, Bronx County, New York",2243,361,1164,240,51.8948,(X),554,24.6991
1400000US36005022101,"Census Tract 221.01, Bronx County, New York",3896,322,1729,247,44.3789,(X),750,19.2505
1400000US36005022102,"Census Tract 221.02, Bronx County, New York",5528,593,2643,294,47.8111,(X),1384,25.0362
1400000US36005022200,"Census Tract 222, Bronx County, New York",3242,432,1857,291,57.2795,(X),928,28.6243
1400000US36005022300,"Census Tract 223, Bronx County, New York",5078,421,2362,383,46.5144,(X),1571,30.9374
1400000US36005022401,"Census Tract 224.01, Bronx County, New York",2637,314,1243,249,47.1369,(X),731,27.7209
1400000US36005022403,"Census Tract 224.03, Bronx County, New York",3374,275,1371,180,40.6343,(X),984,29.1642
1400000US36005022404,"Census Tract 224.04, Bronx County, New York",4209,359,2044,278,48.5626,(X),1422,33.7847
1400000US36005022500,"Census Tract 225, Bronx County, New York",8271,702,3685,443,44.5533,(X),1661,20.0822
1400000US36005022701,"Census Tract 227.01, Bronx County, New York",5194,467,2154,257,41.4709,(X),1542,29.6881
1400000US36005022702,"Census Tract 227.02, Bronx County, New York",1617,149,894,110,55.2876,(X),408,25.2319
1400000US36005022703,"Census Tract 227.03, Bronx County, New York",1736,198,971,148,55.9332,(X),353,20.3341
1400000US36005022800,"Census Tract 228, Bronx County, New York",6096,668,2781,404,45.6201,(X),1808,29.6588
1400000US36005022901,"Census Tract 229.01, Bronx County, New York",5866,460,2766,357,47.1531,(X),1322,22.5367
1400000US36005022902,"Census Tract 229.02, Bronx County, New York",3578,471,1585,273,44.2985,(X),763,21.3248
1400000US36005023000,"Census Tract 230, Bronx County, New York",2832,362,1334,235,47.1045,(X),682,24.0819
1400000US36005023100,"Census Tract 231, Bronx County, New York",1602,198,934,199,58.3021,(X),534,33.3333
1400000US36005023200,"Census Tract 232, Bronx County, New York",2711,274,1292,180,47.6577,(X),831,30.6529
1400000US36005023301,"Census Tract 233.01, Bronx County, New York",3804,409,1777,297,46.7140,(X),1005,26.4196
1400000US36005023302,"Census Tract 233.02, Bronx County, New York",3627,375,1729,256,47.6703,(X),748,20.6231
1400000US36005023501,"Census Tract 235.01, Bronx County, New York",3182,360,1251,177,39.3149,(X),859,26.9956
1400000US36005023502,"Census Tract 235.02, Bronx County, New York",4180,455,2192,307,52.4402,(X),1779,42.5598
1400000US36005023600,"Census Tract 236, Bronx County, New York",1904,253,901,162,47.3214,(X),464,24.3697
1400000US36005023702,"Census Tract 237.02, Bronx County, New York",1143,185,513,137,44.8819,(X),310,27.1216
1400000US36005023703,"Census Tract 237.03, Bronx County, New York",5527,530,2713,358,49.0863,(X),1204,21.7840
1400000US36005023704,"Census Tract 237.04, Bronx County, New York",3944,384,1835,294,46.5264,(X),815,20.6643
1400000US36005023800,"Census Tract 238, Bronx County, New York",2288,310,1150,215,50.2622,(X),508,22.2028
1400000US36005023900,"Census Tract 239, Bronx County, New York",7684,660,3581,432,46.6033,(X),1782,23.1910
1400000US36005024000,"Census Tract 240, Bronx County, New York",4234,553,2276,290,53.7553,(X),962,22.7208
1400000US36005024100,"Census Tract 241, Bronx County, New York",6635,576,3201,341,48.2442,(X),1662,25.0490
1400000US36005024300,"Census Tract 243, Bronx County, New York",5630,450,2444,323,43.4103,(X),1584,28.1350
1400000US36005024400,"Census Tract 244, Bronx County, New York",2277,224,1096,168,48.1335,(X),681,29.9078
1400000US36005024501,"Census Tract 245.01, Bronx County, New York",5009,511,2149,275,42.9028,(X),1237,24.6955
1400000US36005024502,"Census Tract 245.02, Bronx County, New York",3752,391,1653,286,44.0565,(X),901,24.0139
1400000US36005024600,"Census Tract 246, Bronx County, New York",2082,278,1079,190,51.8252,(X),743,35.6868
1400000US36005024700,"Census Tract 247, Bronx County, New York",2037,212,907,147,44.5263,(X),563,27.6387
1400000US36005024800,"Census Tract 248, Bronx County, New York",3053,318,1530,225,50.1146,(X),1343,43.9895
1400000US36005024900,"Census Tract 249, Bronx County, New York",0,12,0,12,0.0000,(X),0,0.0000
1400000US36005025000,"Census Tract 250, Bronx County, New York",2582,290,1283,235,49.6902,(X),827,32.0294
1400000US36005025100,"Census Tract 251, Bronx County, New York",6636,752,3205,537,48.2972,(X),1494,22.5136
1400000US36005025200,"Census Tract 252, Bronx County, New York",2711,237,1326,145,48.9118,(X),865,31.9070
1400000US36005025300,"Census Tract 253, Bronx County, New York",6314,505,2743,295,43.4431,(X),1337,21.1752
1400000US36005025400,"Census Tract 254, Bronx County, New York",2097,196,975,152,46.4950,(X),727,34.6686
1400000US36005025500,"Census Tract 255, Bronx County, New York",6905,784,3594,615,52.0492,(X),1751,25.3584
1400000US36005025600,"Census Tract 256, Bronx County, New York",1688,268,739,165,43.7796,(X),458,27.1327
1400000US36005025700,"Census Tract 257, Bronx County, New York",1969,338,1075,247,54.5962,(X),561,28.4916
1400000US36005026100,"Census Tract 261, Bronx County, New York",1950,171,850,125,43.5897,(X),968,49.6410
1400000US36005026300,"Census Tract 263, Bronx County, New York",6015,776,2425,447,40.3159,(X),2228,37.0407
1400000US36005026400,"Census Tract 264, Bronx County, New York",5398,698,2457,327,45.5169,(X),1733,32.1045
1400000US36005026500,"Census Tract 265, Bronx County, New York",7615,916,3844,565,50.4793,(X),1836,24.1103
1400000US36005026601,"Census Tract 266.01, Bronx County, New York",3352,367,1608,283,47.9714,(X),1317,39.2900
1400000US36005026602,"Census Tract 266.02, Bronx County, New York",5207,541,2343,369,44.9971,(X),1763,33.8583
1400000US36005026701,"Census Tract 267.01, Bronx County, New York",4237,433,2042,272,48.1945,(X),947,22.3507
1400000US36005026702,"Census Tract 267.02, Bronx County, New York",7221,753,3062,493,42.4041,(X),1718,23.7917
1400000US36005026900,"Census Tract 269, Bronx County, New York",3364,316,1618,219,48.0975,(X),1023,30.4102
1400000US36005027300,"Census Tract 273, Bronx County, New York",7895,795,3573,513,45.2565,(X),2497,31.6276
1400000US36005027401,"Census Tract 274.01, Bronx County, New York",4829,522,2225,327,46.0758,(X),2060,42.6589
1400000US36005027402,"Census Tract 274.02, Bronx County, New York",3450,307,1613,182,46.7536,(X),1849,53.5942
1400000US36005027600,"Census Tract 276, Bronx County, New York",4,7,0,12,0.0000,(X),4,100.0000
1400000US36005027700,"Census Tract 277, Bronx County, New York",4883,531,2465,470,50.4813,(X),1141,23.3668
1400000US36005027900,"Census Tract 279, Bronx County, New York",7035,779,3621,495,51.4712,(X),2886,41.0235
1400000US36005028100,"Census Tract 281, Bronx County, New York",4236,436,2014,248,47.5449,(X),2131,50.3069
1400000US36005028300,"Census Tract 283, Bronx County, New York",2618,294,1108,269,42.3224,(X),764,29.1826
1400000US36005028400,"Census Tract 284, Bronx County, New York",598,379,390,297,65.2174,(X),370,61.8729
1400000US36005028500,"Census Tract 285, Bronx County, New York",3527,281,1692,234,47.9728,(X),910,25.8010
1400000US36005028600,"Census Tract 286, Bronx County, New York",1116,163,573,126,51.3441,(X),401,35.9319
1400000US36005028700,"Census Tract 287, Bronx County, New York",3000,328,1340,239,44.6667,(X),1181,39.3667
1400000US36005028800,"Census Tract 288, Bronx County, New York",3288,385,1774,315,53.9538,(X),1270,38.6253
1400000US36005028900,"Census Tract 289, Bronx County, New York",4773,461,2218,417,46.4697,(X),1420,29.7507
1400000US36005029301,"Census Tract 293.01, Bronx County, New York",1842,160,806,135,43.7568,(X),1197,64.9837
1400000US36005029302,"Census Tract 293.02, Bronx County, New York",5767,442,2909,361,50.4422,(X),2766,47.9625
1400000US36005029500,"Census Tract 295, Bronx County, New York",4649,448,2068,316,44.4827,(X),1715,36.8897
1400000US36005029600,"Census Tract 296, Bronx County, New York",1592,177,775,114,48.6809,(X),409,25.6910
1400000US36005029700,"Census Tract 297, Bronx County, New York",3727,271,1631,184,43.7617,(X),1756,47.1156
1400000US36005030000,"Census Tract 300, Bronx County, New York",6003,666,3059,505,50.9579,(X),1969,32.8003
1400000US36005030100,"Census Tract 301, Bronx County, New York",1392,198,570,128,40.9483,(X),924,66.3793
1400000US36005030200,"Census Tract 302, Bronx County, New York",9213,1064,3885,595,42.1687,(X),3915,42.4943
1400000US36005030701,"Census Tract 307.01, Bronx County, New York",5617,430,2749,289,48.9407,(X),2513,44.7392
1400000US36005030900,"Census Tract 309, Bronx County, New York",3703,416,1511,223,40.8048,(X),2189,59.1142
1400000US36005031000,"Census Tract 310, Bronx County, New York",4776,492,2179,259,45.6240,(X),2393,50.1047
1400000US36005031200,"Census Tract 312, Bronx County, New York",1598,214,776,104,48.5607,(X),637,39.8623
1400000US36005031400,"Census Tract 314, Bronx County, New York",2209,223,1083,158,49.0267,(X),883,39.9728
1400000US36005031600,"Census Tract 316, Bronx County, New York",1910,215,991,145,51.8848,(X),668,34.9738
1400000US36005031800,"Census Tract 318, Bronx County, New York",1987,290,958,170,48.2134,(X),896,45.0931
1400000US36005031900,"Census Tract 319, Bronx County, New York",636,196,223,96,35.0629,(X),58,9.1195
1400000US36005032300,"Census Tract 323, Bronx County, New York",4400,378,2142,283,48.6818,(X),2312,52.5455
1400000US36005032400,"Census Tract 324, Bronx County, New York",3696,420,1820,313,49.2424,(X),1028,27.8139
1400000US36005032600,"Census Tract 326, Bronx County, New York",3859,498,1707,302,44.2343,(X),1610,41.7207
1400000US36005032800,"Census Tract 328, Bronx County, New York",3982,362,1977,256,49.6484,(X),1123,28.2019
1400000US36005033000,"Census Tract 330, Bronx County, New York",5885,693,3017,438,51.2659,(X),1794,30.4843
1400000US36005033201,"Census Tract 332.01, Bronx County, New York",5305,754,2708,500,51.0462,(X),1713,32.2903
1400000US36005033202,"Census Tract 332.02, Bronx County, New York",4218,493,2036,319,48.2693,(X),2015,47.7715
1400000US36005033400,"Census Tract 334, Bronx County, New York",72,33,25,13,34.7222,(X),29,40.2778
1400000US36005033500,"Census Tract 335, Bronx County, New York",2011,251,886,138,44.0577,(X),705,35.0572
1400000US36005033600,"Census Tract 336, Bronx County, New York",6697,725,2900,466,43.3030,(X),1908,28.4904
1400000US36005033700,"Census Tract 337, Bronx County, New York",2381,224,1158,127,48.6350,(X),1046,43.9311
1400000US36005033800,"Census Tract 338, Bronx County, New York",4176,472,2252,311,53.9272,(X),1264,30.2682
1400000US36005034000,"Census Tract 340, Bronx County, New York",5464,683,2783,494,50.9334,(X),1295,23.7006
1400000US36005034200,"Census Tract 342, Bronx County, New York",1982,263,895,151,45.1564,(X),624,31.4834
1400000US36005034300,"Census Tract 343, Bronx County, New York",1680,172,786,137,46.7857,(X),603,35.8929
1400000US36005034400,"Census Tract 344, Bronx County, New York",2127,334,866,157,40.7146,(X),696,32.7221
1400000US36005034500,"Census Tract 345, Bronx County, New York",3357,388,1756,240,52.3086,(X),1391,41.4358
1400000US36005034800,"Census Tract 348, Bronx County, New York",6318,815,3042,526,48.1481,(X),2212,35.0111
1400000US36005035000,"Census Tract 350, Bronx County, New York",2078,288,1035,161,49.8075,(X),836,40.2310
1400000US36005035100,"Census Tract 351, Bronx County, New York",3766,348,1814,245,48.1678,(X),1019,27.0579
1400000US36005035600,"Census Tract 356, Bronx County, New York",2143,296,1043,175,48.6701,(X),880,41.0639
1400000US36005035800,"Census Tract 358, Bronx County, New York",8054,787,3764,580,46.7345,(X),3005,37.3107
